model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.7473958333333334,0.6170886075949367,0.7276119402985075,0.6678082191780822,0.8347014925373134
RandomForest,0.7630208333333334,0.6837606837606838,0.5970149253731343,0.6374501992031872,0.8256716417910449
SVM_RBF,0.7369791666666666,0.6299212598425197,0.5970149253731343,0.6130268199233716,0.8172985074626867
