model,accuracy,precision,recall,f1,roc_auc
SVM_RBF,0.9736379613356766,0.9624413145539906,0.9669811320754716,0.9647058823529412,0.995058400718778
LogisticRegression,0.9718804920913884,0.9666666666666667,0.9575471698113207,0.9620853080568721,0.9943449077744305
RandomForest,0.9595782073813708,0.9521531100478469,0.9386792452830188,0.9453681710213777,0.9890267427725807
